Id_cliente;Zona;País;Tipo de producto;Canal de venta;Prioridad;Fecha_pedido;Id_pedido;Fecha envío;Telefono;Email;Unidades; Precio Unitario ; Coste unitario ; Importe venta total ; Importe Coste total 
C2421;NA;United Kingdom;Snacks;Offline;Crítica;12/10/2020;-242113196;30/11/2020;3129421223;anne85;5530;152,58 €;97,44 €;843.767,40 €;538.843,20 €
C1908;NA;Malta;Cárnicos;Online;Alta;26/01/2020;190800607;28/01/2020;;shelby79@example.net;994;421,89 €;364,69 €;419.358,66 €;362.501,86 €
C7652;NA;Marshall Islands;Cereales;Online;Crítica;9/11/2020;765228068;21/11/2020;3124396798;jacobaguilar@example.com;6845;205,70 €;117,11 €;1.408.016,50 €;801.617,95 €
C2326;NA;Iran;Frutas;Offline;Baja;21/08/2021;232631909;2/10/2021;3135755463;shaffervictor@example.org;9806;9,33 €;6,92 €;91.489,98 €;67.857,52 €
C5305;NA;Guatemala;Alimento infantil;Offline;Media;30/09/2022;530560958;12/11/2022;;cmarks@example.org;3633;255,28 €;159,42 €;927.432,24 €;579.172,86 €
;NA;Grenada;Bebida;Offline;4;21/01/2022;516876542;21/02/2022;3027709108;megan10@example.com;4110;47,45 €;31,79 €;195.019,50 €;130.656,90 €
C9197;NA;Fiji;Snacks;Offline;Media;17/02/2022;919752490;27/02/2022;3109501958;hannahfisher@example.com;4056;152,58 €;97,44 €;618.864,48 €;395.216,64 €
C2876;NA;Tunisia ;Cosméticos;Offline;Media;21/03/2020;287675130;7/05/2020;3186138477;perry79@example.com;8319;437,20 €;263,33 €;3.637.066,80 €;2.190.642,27 €
C8394;NA;Grenada;Cuidado personal;Offline;Crítica;13/02/2021;839443290;1/04/2021;3139639127;lori88@example.com;8779;81,73 €;56,67 €;717.507,67 €;497.505,93 €
C8141;NA;Australia;Material de oficina;Online;Media;15/06/2021;814168298;12/07/2021;3005327496;hporter@example.com;9347;651,21 €;524,96 €;6.086.859,87 €;4.906.801,12 €
C3212;NA;Greenland;Cosméticos;Online;Alta;15/07/2022;321273982;30/08/2022;3176500211;matthewphillips@example.com;966;437,20 €;263,33 €;422.335,20 €;254.376,78 €
C8904;NA;Angola;Snacks;Online;Crítica;13/05/2020;890496671;5/06/2020;3171734583;montgomeryronald@example.org;6609;152,58 €;97,44 €;1.008.401,22 €;643.980,96 €
C5218;NA;Zambia;Bebida;Offline;Crítica;6/05/2021;521885192;22/05/2021;3173622960;wrojas@example.org;6281;47,45 €;31,79 €;298.033,45 €;199.672,99 €
C4358;NA;Kenya;Verduras;Offline;Alta;7/11/2020;435800874;25/12/2020;3162911159;garciaallison@example.com;2018;154,06 €;90,93 €;310.893,08 €;183.496,74 €
C1229;NA;Azerbaijan;Frutas;Offline;Crítica;20/10/2021;122917544;17/11/2021;3177225422;amber80@example.org;2888;9,33 €;6,92 €;26.945,04 €;19.984,96 €
C4942;NA;Mozambique;Cuidado personal;Offline;Crítica;21/10/2021;494221532;18/11/2021;3146737198;ritaanderson@example.net;9989;81,73 €;56,67 €;816.400,97 €;566.076,63 €
C7310;NA;Federated States of Micronesia;Cosméticos;Offline;Crítica;19/04/2020;731011664;30/04/2020;3118492773;andrearay;1451;437,20 €;263,33 €;634.377,20 €;382.091,83 €
C5348;NA;Dominican Republic;Snacks;Offline;Crítica;3/11/2022;534899270;4/11/2022;3138528693;wdavis@example.com;7436;152,58 €;97,44 €;1.134.584,88 €;724.563,84 €
C5778;NA;Libya;Material de oficina;Online;Alta;10/07/2022;577808177;22/07/2022;3114188519;johnsonmatthew@example.com;5135;651,21 €;524,96 €;3.343.963,35 €;2.695.669,60 €
C2519;NA;Uzbekistan;Material de oficina;Online;Baja;1/06/2021;251974713;21/06/2021;3125236481;madison44@example.net;3772;651,21 €;524,96 €;2.456.364,12 €;1.980.149,12 €
C8199;NA;Sri Lanka;Cuidado personal;Offline;Media;28/07/2020;819947707;5/09/2020;3054530645;bsullivan@example.net;9602;81,73 €;56,67 €;784.771,46 €;544.145,34 €
C4645;NA;The Gambia;Cosméticos;Online;Crítica;8/06/2021;464588487;25/07/2021;3125241902;rileylinda@example.com;912;437,20 €;263,33 €;398.726,40 €;240.156,96 €
C1390;NA;Myanmar;Snacks;Offline;Media;26/07/2021;139070880;4/08/2021;3025845548;rasmussenlarry@example.org;3019;152,58 €;97,44 €;460.639,02 €;294.171,36 €
C4168;NA;Bhutan;Ropa;Online;Crítica;15/10/2021;416881215;21/10/2021;3124396173;morgan49;3270;109,28 €;35,84 €;357.345,60 €;117.196,80 €
C1418;NA;Mali;Verduras;Online;Crítica;23/11/2021;141818320;29/11/2021;3127542054;markberry@example.org;6047;154,06 €;90,93 €;931.600,82 €;549.853,71 €
C4779;NA;Burundi;Cuidado personal;Online;Alta;31/01/2022;477993524;12/03/2022;3151878323;douglascrawford@example.org;7761;81,73 €;56,67 €;634.306,53 €;439.815,87 €
C8598;NA;Libya;Ropa;Offline;Alta;11/07/2021;859830653;5/08/2021;3048181961;aaronclayton@example.net;1852;109,28 €;35,84 €;202.386,56 €;66.375,68 €
C3420;NA;Nigeria;Ropa;Offline;Crítica;26/08/2022;342066037;11/10/2022;3122666785;cpugh@example.org;3797;109,28 €;35,84 €;414.936,16 €;136.084,48 €
